Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
no,Can't locate article,,,,,,,,,,,Primaerforsvar: mimikry.. Primary defence: mimicry.,"Gohli, Jostein",,,,Fauna (Oslo),2007,2007,60,2,,,,62,69,,,,,0,0
yes,,,,Mutillidae,Hymenoptera,Insecta,Mutillidae,Hymenoptera,Insecta,Family (Mutillidae),Predator/lizard,North American velvet ants form one of the world's largest known Mullerian mimicry complexes,"Wilson, Joseph S.; Jahner, Joshua P.; Forister, Matthew L.; Sheehan, Erica S.; Williams, Kevin A.; Pitts, James P.",,,,CURRENT BIOLOGY,AUG 17 2015,2015,25,16,,,,R704,R706,,,,,3,1
yes,,,,Lepidoptera,Lepidoptera,Insecta,Lepidoptera,Lepidoptera,Insecta,Order (Lepidoptera),Predator/bird,Does Mullerian mimicry work in nature? Experiments with butterflies and birds (Tyrannidae),"Pinheiro, CEG",,,,BIOTROPICA,Sep-03,2003,35,3,,,,356,364,,10.1111/j.1744-7429.2003.tb00589.x,,,34,2.27
no,Not about mimicry,,,,,,,,,,,Colour pattern specification in the Mocker swallowtail Papilio dardanus: the transcription factor invected is a candidate for the mimicry locus H,"Clark, Rebecca; Brown, Sarah M.; Collins, Steve C.; Jiggins, Chris D.; Heckel, David G.; Vogler, Alfried P.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 22 2008,2008,275,1639,,,,1181,1188,,10.1098/rspb.2007.1762,,,25,2.5
no,Review,,,,,,,,,,,Mimicry: The Hunting of the Supergene,"Charlesworth, Deborah; Charlesworth, Brian",,,,CURRENT BIOLOGY,OCT 25 2011,2011,21,20,,,,R846,R848,,10.1016/j.cub.2011.09.004,,,6,0.86
no,Theoretical,,,,,,,,,,,Simulation of coevolution in batesian mimicry.,"Jaffe, Klaus; Osban, F.",,,,Naturalia (Rio Claro),2003-2005(?2005),2005,28-30,,,,,9,18,,,,,0,0
yes,,,,Pterodroma ,Procellariiformes,Aves,Stercorariinae,Charadriiformes,Aves,Class (Aves),Kleptoparasite/skuas,"KLEPTOPARASITISM BY KERMADEC PETRELS, JAEGERS, AND SKUAS IN THE EASTERN TROPICAL PACIFIC - EVIDENCE OF MIMICRY BY 2 SPECIES OF PTERODROMA","SPEAR, L; AINLEY, DG",,,,AUK,Apr-93,1993,110,2,,,,222,233,,,,,21,0.84
yes,,yes,,Myrmarachne smaragdina,Araneae,Arachnida,Oecophylla smaragdina,Hymenoptera,Insecta,Phylum (Arthropoda),Predator,"Ant-mimicking spider, Myrmarachne species (Araneae : Salticidae), distinguishes its model, the green ant, Oecophylla smaragdina, from a sympatric Batesian O. smaragdina mimic, Riptortus serripes (Hemiptera : Alydidae)","Ceccarelli, Fadia Sara",,,,AUSTRALIAN JOURNAL OF ZOOLOGY,2009,2009,57,5,,,,305,309,,10.1071/ZO08014,,,1,0.11
no,Commentary,,,,,,,,,,,How Did the Cuckoo Get Its Polymorphic Plumage?,"Mappes, Johanna; Lindstrom, Leena",,,,SCIENCE,AUG 3 2012,2012,337,6094,,,,532,533,,10.1126/science.1225997,,,3,0.5
yes,,,,Limenitis arthemis,Lepidoptera,Insecta,Battus philenor,Lepidoptera,Insecta,Order (Lepidoptera),Predator,A rare model limits the distribution of its more common mimic: A twist on frequency-dependent Batesian mimicry,"Ries, Leslie; Mullen, Sean P.",,,,EVOLUTION,Jul-08,2008,62,7,,,,1798,1803,,10.1111/j.1558-5646.2008.00401.x,,,16,1.6
